geoid,county,lat,lon,source_boundary,source_boundary_url,population,age65,poverty,uninsured,acs_release,source_acs,source_acs_url,source_acs_retrieval_url,hospitals,nearest,rate,density_class,source_density_class,source_hospital_count,source_hospital_count_url,source_nearest,source_nearest_url,source_rate,source_rate_url,retrieved_at
42001,Adams,39.871447,-77.217883,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,107914,23.44,6.56,6.68,ACS 2024 1-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 1-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs1,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42001,1,3.4,0.93,County market,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42003,Allegheny,40.468789,-79.981217,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,1231814,21.11,11.83,3.59,ACS 2024 1-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 1-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs1,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42003,14,1.5,1.14,County market,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42005,Armstrong,40.812097,-79.464584,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,63679,25.65,12.4,4.17,ACS 2024 1-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 1-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs1,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42005,1,5.1,1.57,Rural,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42007,Beaver,40.682262,-80.349295,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,165540,23.4,11.02,4.44,ACS 2024 1-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 1-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs1,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42007,1,2.3,0.6,County market,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42009,Bedford,40.00647,-78.490278,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,47513,23.97,11.55,7.75,ACS 2024 5-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 5-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs5,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42009,0,23.5,0.0,Rural,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42011,Berks,40.416296,-75.925998,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,439117,18.77,13.35,8.46,ACS 2024 1-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 1-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs1,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42011,3,3.9,0.68,County market,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42013,Blair,40.481117,-78.348296,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,120269,22.2,11.76,7.26,ACS 2024 1-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 1-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs1,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42013,2,3.8,1.66,County market,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42015,Bradford,41.788658,-76.515422,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,59858,22.41,12.65,6.73,ACS 2024 5-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 5-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs5,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42015,0,49.7,0.0,Rural,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42017,Bucks,40.336933,-75.10688,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,650131,22.05,5.98,4.35,ACS 2024 1-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 1-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs1,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42017,4,3.0,0.62,County market,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42019,Butler,40.912014,-79.913306,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,199341,21.9,7.52,3.71,ACS 2024 1-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 1-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs1,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42019,0,19.6,0.0,County market,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
