facility_id,facility_name,county,hospital_type,emergency_services,hospital_ownership,address,city,zip,lat,lon,source_cms,source_cms_url,source_geocoder,source_geocoder_url,retrieved_at
390001,GEISINGER-COMMUNITY MEDICAL CENTER,Lackawanna,Acute Care Hospitals,Yes,Voluntary non-profit - Private,1822 MULBERRY STREET,SCRANTON,18510,41.400927,-75.646323,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390002,UPMC MCKEESPORT HOSPITAL,Allegheny,Acute Care Hospitals,Yes,Voluntary non-profit - Private,1500 FIFTH AVENUE,MC KEESPORT,15132,40.352106,-79.850313,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390003,GEISINGER-BLOOMSBURG HOSPITAL,Columbia,Acute Care Hospitals,Yes,Voluntary non-profit - Private,549 EAST FAIR STREET,BLOOMSBURG,17815,41.008564,-76.453098,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390004,PENN STATE HEALTH HOLY SPIRIT MEDICAL CENTER,Cumberland,Acute Care Hospitals,Yes,Voluntary non-profit - Private,503 NORTH 21ST STREET,CAMP HILL,17011,40.252519,-76.92373,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390006,GEISINGER MEDICAL CENTER,Montour,Acute Care Hospitals,Yes,Voluntary non-profit - Private,100 NORTH ACADEMY AVENUE,DANVILLE,17822,40.968387,-76.601411,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390009,SAINT VINCENT HOSPITAL,Erie,Acute Care Hospitals,Yes,Voluntary non-profit - Private,232 WEST 25TH STREET,ERIE,16544,42.111178,-80.078736,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390012,JEFFERSON LANSDALE HOSPITAL,Montgomery,Acute Care Hospitals,Yes,Voluntary non-profit - Private,100 MEDICAL CAMPUS DRIVE,LANSDALE,19446,40.251392,-75.272034,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390013,WELLSPAN EVANGELICAL COMMUNITY HOSPITAL,Union,Acute Care Hospitals,Yes,Voluntary non-profit - Private,ONE HOSPITAL DRIVE,LEWISBURG,17837,40.979959,-76.885418,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390016,UPMC JAMESON,Lawrence,Acute Care Hospitals,Yes,Voluntary non-profit - Other,1211 WILMINGTON AVENUE,NEW CASTLE,16105,41.013048,-80.350969,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390025,KENSINGTON HOSPITAL,Philadelphia,Acute Care Hospitals,No,Voluntary non-profit - Other,136 W DIAMOND STREET,PHILADELPHIA,19122,39.981823,-75.134807,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390026,TEMPLE HEALTH - CHESTNUT HILL HOSPITAL,Philadelphia,Acute Care Hospitals,Yes,Voluntary non-profit - Private,8835 GERMANTOWN AVENUE,PHILADELPHIA,19118,40.078604,-75.212073,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
